id,date,round,hteam,ateam,hscore,ascore,venue,winner,complete,margin
34676,2023-09-07 19:20:00,25,Collingwood,Melbourne,60,53,M.C.G.,Collingwood,100,7
34674,2023-09-08 19:50:00,25,Carlton,Sydney,74,68,M.C.G.,Carlton,100,6
34675,2023-09-09 15:20:00,25,St Kilda,Greater Western Sydney,77,101,M.C.G.,Greater Western Sydney,100,-24
34677,2023-09-09 19:25:00,25,Brisbane Lions,Port Adelaide,123,75,Gabba,Brisbane Lions,100,48
34678,2023-09-15 19:50:00,26,Melbourne,Carlton,71,73,M.C.G.,Carlton,100,-2
34679,2023-09-16 19:40:00,26,Port Adelaide,Greater Western Sydney,70,93,Adelaide Oval,Greater Western Sydney,100,-23
35045,2023-09-22 19:50:00,27,Collingwood,Greater Western Sydney,58,57,M.C.G.,Collingwood,100,1
35046,2023-09-23 17:15:00,27,Brisbane Lions,Carlton,79,63,Gabba,Brisbane Lions,100,16
34682,2023-09-30 14:30:00,28,Collingwood,Brisbane Lions,90,86,M.C.G.,Collingwood,100,4
35700,2024-03-07 19:30:00,0,Sydney,Melbourne,86,64,S.C.G.,Sydney,100,22
35701,2024-03-08 19:40:00,0,Brisbane Lions,Carlton,85,86,Gabba,Carlton,100,-1
35702,2024-03-09 16:20:00,0,Gold Coast,Richmond,99,60,Carrara,Gold Coast,100,39
35703,2024-03-09 19:30:00,0,Greater Western Sydney,Collingwood,114,82,Sydney Showground,Greater Western Sydney,100,32
35704,2024-03-14 19:30:00,1,Carlton,Richmond,86,81,M.C.G.,Carlton,100,5
35705,2024-03-15 19:40:00,1,Collingwood,Sydney,69,102,M.C.G.,Sydney,100,-33
35706,2024-03-16 13:45:00,1,Essendon,Hawthorn,107,83,M.C.G.,Essendon,100,24
35707,2024-03-16 16:35:00,1,Greater Western Sydney,North Melbourne,121,82,Sydney Showground,Greater Western Sydney,100,39
35708,2024-03-16 19:30:00,1,Geelong,St Kilda,76,68,Kardinia Park,Geelong,100,8
35709,2024-03-16 20:10:00,1,Gold Coast,Adelaide,60,54,Carrara,Gold Coast,100,6
35710,2024-03-17 13:00:00,1,Melbourne,Western Bulldogs,109,64,M.C.G.,Melbourne,100,45
35711,2024-03-17 16:00:00,1,Port Adelaide,West Coast,120,70,Adelaide Oval,Port Adelaide,100,50
35712,2024-03-17 18:50:00,1,Fremantle,Brisbane Lions,93,70,Perth Stadium,Fremantle,100,23
35713,2024-03-21 19:30:00,2,St Kilda,Collingwood,94,79,M.C.G.,St Kilda,100,15
35714,2024-03-22 19:40:00,2,Adelaide,Geelong,77,96,Adelaide Oval,Geelong,100,-19
35715,2024-03-23 13:45:00,2,North Melbourne,Fremantle,76,102,Docklands,Fremantle,100,-26
35716,2024-03-23 16:35:00,2,Hawthorn,Melbourne,38,93,M.C.G.,Melbourne,100,-55
35717,2024-03-23 19:30:00,2,Sydney,Essendon,131,101,S.C.G.,Sydney,100,30
35718,2024-03-24 13:00:00,2,Western Bulldogs,Gold Coast,115,67,Eureka Stadium,Western Bulldogs,100,48
35719,2024-03-24 16:00:00,2,Richmond,Port Adelaide,92,122,M.C.G.,Port Adelaide,100,-30
35720,2024-03-24 18:50:00,2,West Coast,Greater Western Sydney,43,108,Perth Stadium,Greater Western Sydney,100,-65
35721,2024-03-28 19:30:00,3,Brisbane Lions,Collingwood,72,92,Gabba,Collingwood,100,-20
35722,2024-03-29 16:20:00,3,North Melbourne,Carlton,81,137,Docklands,Carlton,100,-56
35723,2024-03-29 19:30:00,3,Fremantle,Adelaide,69,34,Perth Stadium,Fremantle,100,35
